# mdm(GeV)	 mAp(GeV)	 Number of Signal Events
2.5668e-02	1.1517e-03	0.0000e+00
2.6886e-02	1.1517e-03	0.0000e+00
2.8162e-02	1.1517e-03	0.0000e+00
2.9498e-02	1.1517e-03	0.0000e+00
3.0898e-02	1.1517e-03	0.0000e+00
3.2364e-02	1.1517e-03	0.0000e+00
3.3900e-02	1.1517e-03	0.0000e+00
3.5509e-02	1.1517e-03	0.0000e+00
3.7194e-02	1.1517e-03	0.0000e+00
3.8959e-02	1.1517e-03	0.0000e+00
4.0807e-02	1.1517e-03	0.0000e+00
4.2744e-02	1.1517e-03	0.0000e+00
4.4772e-02	1.1517e-03	0.0000e+00
4.6897e-02	1.1517e-03	0.0000e+00
4.9122e-02	1.1517e-03	0.0000e+00
5.1453e-02	1.1517e-03	0.0000e+00
5.3894e-02	1.1517e-03	0.0000e+00
5.6452e-02	1.1517e-03	0.0000e+00
5.9131e-02	1.1517e-03	0.0000e+00
6.1936e-02	1.1517e-03	0.0000e+00
6.4875e-02	1.1517e-03	0.0000e+00
6.7954e-02	1.1517e-03	0.0000e+00
7.1179e-02	1.1517e-03	0.0000e+00
7.4556e-02	1.1517e-03	0.0000e+00
7.8094e-02	1.1517e-03	0.0000e+00
8.1800e-02	1.1517e-03	0.0000e+00
8.5681e-02	1.1517e-03	0.0000e+00
8.9747e-02	1.1517e-03	0.0000e+00
9.4006e-02	1.1517e-03	0.0000e+00
9.8467e-02	1.1517e-03	0.0000e+00
1.0314e-01	1.1517e-03	0.0000e+00
1.0803e-01	1.1517e-03	0.0000e+00
1.1316e-01	1.1517e-03	0.0000e+00
1.1853e-01	1.1517e-03	0.0000e+00
1.2415e-01	1.1517e-03	0.0000e+00
1.3005e-01	1.1517e-03	0.0000e+00
1.3622e-01	1.1517e-03	0.0000e+00
1.4268e-01	1.1517e-03	0.0000e+00
1.4945e-01	1.1517e-03	0.0000e+00
1.5654e-01	1.1517e-03	0.0000e+00
1.6397e-01	1.1517e-03	0.0000e+00
1.7175e-01	1.1517e-03	0.0000e+00
1.7990e-01	1.1517e-03	0.0000e+00
1.8844e-01	1.1517e-03	0.0000e+00
1.9738e-01	1.1517e-03	0.0000e+00
2.0675e-01	1.1517e-03	0.0000e+00
2.1656e-01	1.1517e-03	0.0000e+00
2.2683e-01	1.1517e-03	0.0000e+00
2.3760e-01	1.1517e-03	0.0000e+00
2.4887e-01	1.1517e-03	0.0000e+00
2.6068e-01	1.1517e-03	0.0000e+00
2.7305e-01	1.1517e-03	0.0000e+00
2.8601e-01	1.1517e-03	0.0000e+00
2.9958e-01	1.1517e-03	0.0000e+00
3.1379e-01	1.1517e-03	0.0000e+00
3.2868e-01	1.1517e-03	0.0000e+00
3.4428e-01	1.1517e-03	0.0000e+00
3.6062e-01	1.1517e-03	0.0000e+00
3.7773e-01	1.1517e-03	0.0000e+00
3.9565e-01	1.1517e-03	0.0000e+00
4.1443e-01	1.1517e-03	0.0000e+00
4.3409e-01	1.1517e-03	0.0000e+00
4.5469e-01	1.1517e-03	0.0000e+00
4.7627e-01	1.1517e-03	0.0000e+00
4.9887e-01	1.1517e-03	0.0000e+00
5.2254e-01	1.1517e-03	0.0000e+00
5.4734e-01	1.1517e-03	0.0000e+00
5.7331e-01	1.1517e-03	0.0000e+00
6.0051e-01	1.1517e-03	0.0000e+00
6.2901e-01	1.1517e-03	0.0000e+00
6.5886e-01	1.1517e-03	0.0000e+00
6.9012e-01	1.1517e-03	0.0000e+00
7.2287e-01	1.1517e-03	0.0000e+00
7.5717e-01	1.1517e-03	0.0000e+00
